S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16
1,"Agriculture, forestry and fishing",1122697,1354494,1513317,1307603,1728962
1.1,Crops,623142,832238,1001113,683804,889327
1.2,Livestock,337949,339297,338457,425073,631389
1.3,Forestry and logging,133061,152457,142985,166355,172171
1.4,Fishing and aquaculture,28546,30501,30762,32371,36074
2,Mining and quarrying,28797,66415,29737,28352,54729
Total,Primary,1151494,1420909,1543054,1335955,1783691
3,Manufacturing,624272,613841,656384,713808,731437
4,"Electricity, gas, water supply & other utility services",430202,417526,362549,385557,399054
5,Construction,623245,659639,738282,732573,783330
Total,Secondary,1677720,1691006,1757215,1831939,1913822
6,"Trade, repair, hotels and restaurants",584477,704992,788339,761495,895123
6.1,Trade & repair services,517327,636538,726279,697699,838405
6.2,Hotels & restaurants,67150,68455,62060,63796,56718
7,"Transport, storage, communication & services related to broadcasting",328523,391873,418660,486045,662688
7.1,Railways,7807,9245,9274,11120,12459
7.2,Road transport,228323,268139,275940,312346,487413
7.3,Water transport,0,0,0,0,0
7.4,Air transport,5243,10771,6175,27961,12166
7.5,Services incidental to transport,415,489,696,761,1168
7.6,Storage,0,2,2,2,2
7.7,Communication & services related to broadcasting,86735,103228,126574,133856,149479
8,Financial services,222483,262015,318831,367692,395138
9,"Real estate, ownership of dwelling & professional services",948348,819738,914833,1015488,1116485
10,Public administration,870047,948044,952268,1095211,1339558
11,Other services,594667,652934,803666,897153,993336
Total,Tertiary,3548545,3779596,4196597,4623084,5402328
12,TOTAL NSVA at basic prices,6377759,6891511,7496866,7790978,9099840
13,Taxes on Products,551520,658405,748270,764270,936835
14,Subsidies on products,202038,253615,248582,233563,230338
15,Net State Domestic Product,6727241,7296301,7996554,8321685,9806337
16,Population ('00),126520,128450,130410,132390,134410
17,Per Capita NSDP (Rs.),53171,56803,61319,62857,72958
